B_GSM886836	B_GSM886859	B_GSM886901	B_GSM886912	B_GSM887015	B_GSM887088	B_GSM887110	B_GSM887112	B_GSM887118	B_GSM887119	B_GSM887120	B_GSM887124	B_GSM887125	B_GSM887126	B_GSM887314	B_GSM887318	B_GSM887480	B_GSM887527	B_GSM887574	B_GSM887577	B_GSM887596	B_GSM887666	B_GSM887682	B_GSM887689	B_GSM887722	O_GSM886945	O_GSM886996	O_GSM887247	O_GSM887248	O_GSM887249	O_GSM887250	O_GSM887251	O_GSM887252	O_GSM887253	O_GSM887254	O_GSM887255	O_GSM887256	O_GSM887475	O_GSM887476	O_GSM887691	O_GSM887692	O_GSM887693	O_GSM887694	O_GSM887695	O_GSM887697	O_GSM887698	O_GSM887700	O_GSM887701	O_GSM887702	O_GSM887713
161291_at	3.9996	4.156	3.8471	3.594	4.0373	3.9112	3.8531	4.2373	4.1246	4.1092	4.4489	4.3994	4.3086	4.1372	3.9378	4.0289	3.8907	3.8534	3.8639	3.983	4.1899	3.7156	4.7898	3.9239	3.928	6.508	6.3054	6.1388	7.2301	6.4769	7.1358	7.7106	6.2822	5.99	7.5633	5.3276	3.8967	7.4239	6.679	6.9958	6.5747	6.8688	6.2399	6.1929	6.3177	7.2476	6.7484	4.6058	6.5863	6.7486
1824_at	5.0639	3.9864	4.1331	3.9635	4.2263	6.1321	4.2937	4.1072	3.9641	4.0058	3.916	4.0165	4.3578	3.9808	4.039	4.1481	4.0148	4.3337	5.0298	3.9932	4.1278	4.0844	4.1829	4.0576	5.1868	7.3885	8.5617	8.6942	7.7455	8.3406	7.3661	8.5205	7.6673	8.1717	8.7603	6.7916	5.3589	9.3403	7.8652	10.218	9.457	8.0404	9.2581	5.4516	9.8513	6.9929	9.9438	5.7369	8.8347	10.77
1825_at	3.6147	3.6911	3.4801	3.8345	3.7452	5.4476	4.4234	3.5265	3.5686	3.6489	3.6947	3.5666	3.8131	3.6741	3.8084	3.5123	3.5882	3.5321	7.0729	3.7722	3.7551	3.5923	3.6648	3.8003	3.7625	8.0864	8.5058	10.262	9.9351	9.4961	9.5292	8.1626	8.3186	9.1958	9.0861	9.3042	9.9627	3.6504	7.0047	7.2437	10.182	9.5429	9.6079	4.8224	3.5128	8.259	10.659	6.9841	10.393	11.185
1829_at	8.9756	3.8183	3.7911	8.0438	5.4583	8.5277	10.159	5.6624	4.1467	4.8676	5.1223	4.0587	4.1492	3.8667	6.6342	4.6174	6.0499	3.9699	10.183	3.8504	4.3801	8.4592	3.9284	3.52	8.334	11.051	10.721	10.958	10.255	10.595	11.183	10.955	10.896	10.218	10.771	10.103	10.964	11.409	11.046	11.854	10.706	9.9342	11.052	9.0774	11.562	10.734	12.372	8.6625	10.682	9.6461
1_at	5.5048	6.7574	7.7655	6.4511	6.0397	5.5402	5.1606	6.0826	7.5175	6.795	7.5895	7.0974	5.8243	6.6613	6.28	5.9607	6.7686	6.189	6.7984	6.7868	6.7252	6.7908	5.6438	7.1891	7.0473	5.9845	4.8231	5.0079	4.5621	5.087	5.7896	4.6329	4.662	4.9073	4.7413	4.5816	4.4519	4.9424	4.4568	4.6684	4.8432	4.7189	4.716	4.7897	4.6514	4.9735	4.8634	6.1391	4.7323	5.113
2041_at	4.3801	4.5891	4.1406	4.359	4.3103	4.4056	4.4354	4.7073	4.3113	4.3593	4.4591	4.6842	4.5968	4.3276	4.5954	4.1567	4.201	4.812	4.77	4.7306	4.7687	4.4243	4.6648	5.0417	4.1882	6.3255	5.977	6.7218	5.8674	5.9422	6.6843	7.4323	5.9437	5.3147	6.0902	5.4781	4.742	6.876	7.0249	7.6388	7.1706	5.9756	7.2082	6.0982	5.9479	6.3034	5.9206	4.393	7.0924	7.4101
2054_at	8.0102	8.5168	8.9905	7.8425	8.2524	8.1543	8.5945	8.5218	8.7347	8.9219	8.5715	9.3632	8.5868	8.9594	7.9547	8.9622	8.257	9.3395	8.1252	8.8572	8.8105	8.3426	8.6498	8.4014	8.3578	7.3264	6.5172	6.8105	6.3504	6.1676	7.6479	5.3334	7.3561	5.3483	6.1323	7.6697	7.0149	5.2414	7.7842	6.6712	6.4101	6.2107	5.6425	7.2594	6.0924	6.0524	5.7709	7.6336	5.7059	5.2024
2065_at	4.4432	4.8192	4.721	4.5379	4.4143	5.1813	4.8452	4.8198	4.2535	4.4764	4.2848	5.0666	4.7878	4.3327	4.9747	5.2548	4.5203	5.366	4.2767	4.6493	4.6815	4.862	4.9302	4.9364	5.9701	9.4335	8.1233	8.7748	9.2338	7.1652	8.5352	10.667	8.716	7.5298	9.5987	7.7345	5.174	11.081	9.2889	8.7755	9.0273	8.8972	8.242	7.9297	9.5222	9.2011	9.0013	6.3568	9.422	10.354
2125_at	3.8596	4.4158	4.5864	4.0502	4.6536	4.8075	4.4691	4.2631	3.8794	4.4429	3.789	4.1713	4.1536	4.1222	4.6174	4.4073	4.0086	4.3832	4.3999	4.4059	4.3094	4.187	4.5799	4.5258	4.28	6.7449	5.5929	6.071	6.0076	6.0628	5.8751	7.1507	6.4325	4.7742	5.7216	5.8404	5.2089	6.5969	6.6692	7.2306	6.3804	5.2774	6.6746	5.3776	5.7424	5.9933	5.6865	5.2889	7.0604	6.9175
222484_at	7.8812	7.3526	7.0956	7.5001	6.776	7.9848	7.3577	7.5294	6.9565	7.1024	7.0183	7.4696	7.3629	7.2035	7.4975	7.7299	7.0603	7.361	6.825	7.1783	7.7473	7.6238	7.1339	7.9451	7.0995	7.8955	9.3499	8.3785	8.5614	8.0438	8.8305	8.271	8.411	8.2669	7.8649	7.5317	8.8839	9.5401	8.9053	8.215	7.9499	8.8765	8.1761	7.8794	8.942	9.467	7.9189	8.2762	8.871	8.7097
